Title,Link,Description,Category,Image URL
Skyrim Flora Overhaul SE,https://www.nexusmods.com/skyrimspecialedition/mods/2154,"* 18 new tree models (replacements of default trees)* ~65 new grasses and plants* The green forest appear more deep and old - trees are much taller and wider.* Snowy trees are much more detailed with heavy snow, some are bent by the snow",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2154/2154-1673221547-2065443795.png
SSE Engine Fixes (skse64 plugin),https://www.nexusmods.com/skyrimspecialedition/mods/17230,skse64 plugin to fix various issues with the Skyrim Special Edition engine.,Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/17230/17230-1526195370-298143229.png
Apocalypse - Magic of Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/1090,"Apocalypse is the most popular Skyrim spell pack, adding 155 new spells that are unique, balanced, lore friendly, use high quality custom visuals and blend seamlessly into the vanilla magic system. Also includes scrolls and staves for the new spells.",Magic - Spells & Enchantments,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16225-0-1468717885.jpg
PapyrusUtil SE - Modders Scripting Utility Functions,https://www.nexusmods.com/skyrimspecialedition/mods/13048,An SKSE plugin adding several new scripts with native functions that provide various conveniences related to data storage and other misc functions to the scripter/modder.,Modders Resources,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/13048/13048-1512389090-2109546993.png
Relationship Dialogue Overhaul - RDO SE,https://www.nexusmods.com/skyrimspecialedition/mods/1187,"Adds over 5,000 lines of completely voiced dialogue for NPCs using the original voices. Friends, followers, spouses, rivals, and others have much more to say. All default voices now have follower dialogue. Also fixes dialogue bugs and restores cut dialogue that has never been heard before!",Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/74568-0-1470462563.jpg
Enhanced Lights and FX,https://www.nexusmods.com/skyrimspecialedition/mods/2424,Enhanced Lights and FX has the goal to create a more dramatic and realistic mood to the Skyrim lighting.,Visuals and Graphics,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2424-0-1479939929.jpg
SkyUI,https://www.nexusmods.com/skyrimspecialedition/mods/12604,"Elegant, PC-friendly interface mod with many advanced features.",User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/12604-0-1506820354.png
Unofficial Skyrim Special Edition Patch - USSEP,https://www.nexusmods.com/skyrimspecialedition/mods/266,"A comprehensive bugfixing mod for The Elder Scrolls V: Skyrim - Special Edition. The goal of the Unofficial Skyrim Special Edition Patch (aka USSEP) is to eventually fix every bug with Skyrim Special Edition not officially resolved by the developers to the limits of the Creation Kit and community-developed tools, in one easy-to-install package.",Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/266-0-1477512662.png
Mod Organizer 2,https://www.nexusmods.com/skyrimspecialedition/mods/6194,Mod Organizer (MO) is a tool for managing mod collections of arbitrary size. It is specifically designed for people who like to experiment with mods and thus need an easy and reliable way to install and uninstall them.,Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/6194/6194-1525726634-1392239594.png
Static Mesh Improvement Mod - SMIM,https://www.nexusmods.com/skyrimspecialedition/mods/659,"A massive project to greatly improve the appearance of countless static 3D models in Skyrim. Basically, this is my attempt to make the Skyrim architecture, clutter, furniture, and landscaping much nicer.",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/8655-1-1344844621.jpg
Fores New Idles in Skyrim SE - FNIS SE,https://www.nexusmods.com/skyrimspecialedition/mods/3038,"No custom animation possible for Skyrim? Wrong. FNIS Behaviors allows to add different types of animations to the game: idles/poses, sequenced, furniture, paired, killmoves, creatures, and others.",Animation,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/11811-1-1364819540.jpg
A Quality World Map,https://www.nexusmods.com/skyrimspecialedition/mods/5804,"Provides a new set of highly-detailed 3D or paper world map textures, complete with roads! Also adds a detailed Solsteim map.",User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/5804-1-1481088259.jpg
RaceMenu,https://www.nexusmods.com/skyrimspecialedition/mods/19080,"Complete overhaul to the character creation menu including new customization features such as multiple RGBA warpaints, body paints, hand paint, and foot paints. (Requires SKSE)",User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/19080/29624-1533485825-2144769853.jpeg
Alternate Start - Live Another Life - SSE,https://www.nexusmods.com/skyrimspecialedition/mods/272,Live Another Life provides an alternative means to start the game for those who do not wish to go through the lengthy intro sequence at Helgen.,Gameplay,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/9557-1-1401347037.jpg
Address Library for SKSE Plugins,https://www.nexusmods.com/skyrimspecialedition/mods/32444,Contains header file and a database to make SKSE DLL plugins version independent easily.,Modders Resources,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/32444/32444-1581072939-1625378722.png
Immersive Armors,https://www.nexusmods.com/skyrimspecialedition/mods/3479,"Immersive Armors seeks to drastically enhance the variety of armors in the world of Skyrim in a lore friendly way. The goal of every set is to blend into the lore, balance, and feel of the game for the most immersive experience possible.",Armour,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/3479-0-1478731779.png
Immersive Citizens - AI Overhaul SE,https://www.nexusmods.com/skyrimspecialedition/mods/173,Immersive Citizens - AI Overhaul is a mod whose purpose is to increase player in-game immersion by greatly improving Artificial Intelligence (AI) of friendly NPCs (citizens) in order to make them act and react like true humans in relation to their environment or to an aggressor.,Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/65013-0-1432742432.png
Ordinator - Perks of Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/1137,Ordinator overhauls the perk trees of Skyrim to increase the depth and fun of character building. It is highly compatible with other mods and uses lightweight and clean scripting.,Overhauls,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/1137-0-1498676465.png
BodySlide and Outfit Studio,https://www.nexusmods.com/skyrimspecialedition/mods/201,"An easy to use tool for customizing bodies and outfits, creating new bodies and outfits, and converting outfits between body types.",Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/201-0-1478034289.png
Realistic Water Two SE,https://www.nexusmods.com/skyrimspecialedition/mods/2182,"Visually crisp and distinct water types and colors, robust improvements to water effects and meshes, improved water textures and new features. Fully compatible with ENBSeries.",Environmental,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/41076-1-1377597873.png
Skyrim Flora Overhaul SE,https://www.nexusmods.com/skyrimspecialedition/mods/2154,"* 18 new tree models (replacements of default trees)* ~65 new grasses and plants* The green forest appear more deep and old - trees are much taller and wider.* Snowy trees are much more detailed with heavy snow, some are bent by the snow",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2154/2154-1673221547-2065443795.png
SSE Engine Fixes (skse64 plugin),https://www.nexusmods.com/skyrimspecialedition/mods/17230,skse64 plugin to fix various issues with the Skyrim Special Edition engine.,Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/17230/17230-1526195370-298143229.png
Apocalypse - Magic of Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/1090,"Apocalypse is the most popular Skyrim spell pack, adding 155 new spells that are unique, balanced, lore friendly, use high quality custom visuals and blend seamlessly into the vanilla magic system. Also includes scrolls and staves for the new spells.",Magic - Spells & Enchantments,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16225-0-1468717885.jpg
PapyrusUtil SE - Modders Scripting Utility Functions,https://www.nexusmods.com/skyrimspecialedition/mods/13048,An SKSE plugin adding several new scripts with native functions that provide various conveniences related to data storage and other misc functions to the scripter/modder.,Modders Resources,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/13048/13048-1512389090-2109546993.png
Relationship Dialogue Overhaul - RDO SE,https://www.nexusmods.com/skyrimspecialedition/mods/1187,"Adds over 5,000 lines of completely voiced dialogue for NPCs using the original voices. Friends, followers, spouses, rivals, and others have much more to say. All default voices now have follower dialogue. Also fixes dialogue bugs and restores cut dialogue that has never been heard before!",Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/74568-0-1470462563.jpg
Enhanced Lights and FX,https://www.nexusmods.com/skyrimspecialedition/mods/2424,Enhanced Lights and FX has the goal to create a more dramatic and realistic mood to the Skyrim lighting.,Visuals and Graphics,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2424-0-1479939929.jpg
KS Hairdos SSE,https://www.nexusmods.com/skyrimspecialedition/mods/6817,"KS Hairdos is a hair pack that contains 983 hairstyles. 876 hairstyles are for females, 107 are for males.","Body, Face, and Hair",https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/6817-4-1483126874.jpg
Achievements Mods Enabler,https://www.nexusmods.com/skyrimspecialedition/mods/245,Enables achievements in Skyrim SE/AE with mods. SKSE64 support.,User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/245-0-1477844698.jpg
SSEEdit,https://www.nexusmods.com/skyrimspecialedition/mods/164,SSEEdit is the Skyrim: Special Edition version of xEdit. xEdit is an advanced graphical module viewer/editor and conflict detector.,Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/164/164-1544500149-1688528806.png
Immersive Patrols SE AE,https://www.nexusmods.com/skyrimspecialedition/mods/718,"Immersive Patrols adds Stormcloak, Thalmor, Imperial and Dawnguard patrols to Skyrim and a few roaming Skaal, Reaver and Rieklings to Solstheim. These patrols can cross paths with eachother or the player creating new encounters.",Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/12977-5-1404623072.jpg
Skyrim 202X by Pfuscher - Formerly 2020,https://www.nexusmods.com/skyrimspecialedition/mods/2347,"High Res Textures for cities, dungeons, clutter, armors, landscapes and much more. Going towards 2000 files, way more to come !Thousands of hours of work into this. Please consider supporting me at Patreon and Kofi",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2347/2347-1687431641-1606188254.jpeg
Cutting Room Floor - SSE,https://www.nexusmods.com/skyrimspecialedition/mods/276,A mod to restore several pieces of cut content in Skyrim Special Edition.,Gameplay,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/47327-1-1384661745.jpg
Immersive Weapons,https://www.nexusmods.com/skyrimspecialedition/mods/16788,"Immersive Weapons seeks to drastically enhance the variety of weapons in the world of Skyrim in a lore friendly way. The goal of every addition is to blend into the lore, balance and feel of the game for the most immersive experience possible.",Weapons,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16788/27644-1524717561-729473594.png
Vivid Weathers Definitive Edition - a complete Weather and Visual overhaul for Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/2187,"Vivid Weathers is the ultimate weather mod for Skyrim. It combines features features from COT, ESS, SS, Vivid Snow, Vivid Clouds and Fogs, Real Skyrim Snowflakes and much much more into an in-depth overhaul. It revamp the colors and weathers of the game to achieve a stunning effects even without an ENB.",Visuals and Graphics,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/2187/2187-1514823517-2072733849.jpeg
Apachii Sky Hair SSE,https://www.nexusmods.com/skyrimspecialedition/mods/2014,"New Female and Male Hairstyles for Humans, Elves and Orcs. Converted hair from Sims2 and Sims3.Standalone version.","Body, Face, and Hair",https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/10168-1-1392817986.jpg
Immersive Sounds - Compendium,https://www.nexusmods.com/skyrimspecialedition/mods/523,A dramatic and extensively customizable overhaul of Skyrim's sound.,Audio,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/523-0-1477677533.jpg
Cloaks of Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/6369,"Adds almost 100 new styles of cloak to the world of Skyrim, via crafting, levelled-lists, and static loot. They are lore-friendly and enchantable, and more are being added with every update. The aim of this mod is to provide some variety and flavour to the world, as well as the chance to wear a stylish cloak and quite literally keep the cold out.",Clothing and Accessories,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/6369-3-1482131818.jpg
LeanWolf's Better-Shaped Weapons SE,https://www.nexusmods.com/skyrimspecialedition/mods/2017,"Tired of broad, thick weapons that would be far too heavy, blunt or unwieldy in actual combat? Maybe you find their styles a little too unconventional or just plain ugly? This mod simply reshapes the weapon meshes and is compatible with re-texture mods.",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/39870-1-1430402873.jpg
Legacy of the Dragonborn SSE,https://www.nexusmods.com/skyrimspecialedition/mods/11802,"Legacy of the Dragonborn will forever change how you play Skyrim. Not just a display mod, not just a quest mod, not just a new guild mod, but a complete foundational flagship mod to build an entire load order around. This DLC expansion sized mod adds hundreds of new items, dozens of new quests and hundreds of extra hours of play.",Quests and Adventures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/11802-0-1505492063.jpg
JContainers SE,https://www.nexusmods.com/skyrimspecialedition/mods/16495,Extends Skyrim SE Papyrus scripts (or SKSE/C++ plugins) with JSON based serializable data structures like arrays and maps. Embedded Lua interpreter.,Modders Resources,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16495/16495-1646226083-1749138482.jpeg
Better Dialogue Controls,https://www.nexusmods.com/skyrimspecialedition/mods/1429,Ever pick the wrong item in a dialogue with a NPC? This mod aims to fix some annoyances with the way keyboard and mouse selection works in the dialogue interface.,User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/27371-1-1354565572.jpg
Wet and Cold SE,https://www.nexusmods.com/skyrimspecialedition/mods/644,This mod adds weather-dependent visual effects and AI enhancements to the player and NPCs.,Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/27563-1-1376106927.png
Run For Your Lives,https://www.nexusmods.com/skyrimspecialedition/mods/2272,A small mod that makes citizens in a village or city run indoors during a dragon attack.,Gameplay,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/23906-1-1347219274.jpg
RS Children Overhaul,https://www.nexusmods.com/skyrimspecialedition/mods/2650,Overhauls the appearance of all children. Also adds some outfits and accessories (currently only for boys).,NPC,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/55555-1-1404448008.png
JK's Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/6289,An enhanced Skyrim cities and towns overhaul all in one.,"Cities, Towns, Villages, and Hamlets",https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/61035-1-1419438387.jpg
Footprints,https://www.nexusmods.com/skyrimspecialedition/mods/3808,"Adds footprints to the player, NPCs, and creatures.  With particle FX!  Currently for snow and ash.  Custom footprints hook for third-party mods w/ custom races.  Heavily optimized since v1.00.",Visuals and Graphics,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/3808-0-1479402564.jpg
Stones of Barenziah Quest Markers,https://www.nexusmods.com/skyrimspecialedition/mods/684,"Adds quest markers to all 24 of the Stones of Barenziah (Unusual Gems) that you need to find/collect for the ""No Stone Unturned"" quest. For those like me who want to complete the quest, but don't like looking up all those locations",Gameplay,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/9385-1-1330165154.jpg
UIExtensions,https://www.nexusmods.com/skyrimspecialedition/mods/17561,Adds various custom menus to Skyrim for modder use.,User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/17561/57046-1527360500-1073676609.jpeg
Fuz Ro D-oh - Silent Voice,https://www.nexusmods.com/skyrimspecialedition/mods/15109,"A SKSE64 plugin that adds support for unvoiced in-game dialog,",Miscellaneous,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/15109/15109-1517872321-1502894648.png
Diverse Dragons Collection SE (DDCse),https://www.nexusmods.com/skyrimspecialedition/mods/695,"Adds 28 leveled enemy dragons with unique models, textures, & abilities, uniting work from over a dozen mod authors. Now fully configurable.",Creatures and Mounts,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/76750-1-1467382142.jpg
HDT-SMP (Skinned Mesh Physics),https://www.nexusmods.com/skyrimspecialedition/mods/30872,SKSE plugin-based physics extender allowing application of the bullet physics library's skinned mesh physics to actor models in Skyrim.,Patches,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/30872/30872-1575824555-539305283.png
RUSTIC CLOTHING - Special Edition,https://www.nexusmods.com/skyrimspecialedition/mods/4703,High resolution RUSTIC CLOTHING texture overhaul for Skyrim Special Edition. Now with BC7 compression. Available in several resolution options.,Clothing and Accessories,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/4703-0-1486937976.jpg
Amazing Follower Tweaks SE,https://www.nexusmods.com/skyrimspecialedition/mods/6656,"Multiple followers. Manage outfits, spells, combat style, home assignment and level up. Make werewolves or vampires lords. Followers ride horses, make camp, avoid traps, ignore friendly fire, toggle city/standard outfits & helmets, pose, dance and more",Followers & Companions,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/81089-0-1482783822.png
Campfire - Complete Camping System (Supports Skyrim VR),https://www.nexusmods.com/skyrimspecialedition/mods/667,"Campfire is the most feature-rich stand-alone camping mod for The Elder Scrolls V: Skyrim, created from Frostfall's immersive and detailed camping system. Campfire is also a modder's framework, allowing anyone to create their own unique camping equipment.",NPC,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/64798-1-1429214718.jpg
Unread Books Glow SSE,https://www.nexusmods.com/skyrimspecialedition/mods/1296,"Books which you have not read yet will have a visible glow. When you
read a book for the first time, its glow will disappear. All copies
of the same title are considered the same book, so once you've read
one ""Cats of Skyrim"", you've read them all.",User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/1296-3-1477737042.jpg
VioLens - A Killmove Mod SE,https://www.nexusmods.com/skyrimspecialedition/mods/668,SkyUI & SKSE64 Required.VioLens - A Killmove Mod gives you in-game control over both Ranged and Melee Killmoves.JContainers SE only required for use of the Profile System.,Combat,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/668/668-1533183179-1102536231.png
Dynamic Animation Replacer,https://www.nexusmods.com/skyrimspecialedition/mods/33746,"This mod dynamically replaces the actors' animations depending on various conditions. Supports most actors, including creatures. Actors and animations added by mods are also supported. No ESP file.",Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/33746/33746-1584612933-181831047.png
The Paarthurnax Dilemma,https://www.nexusmods.com/skyrimspecialedition/mods/365,Small expansion on the quest the Blades give you concerning Paarthurnax.,Quests and Adventures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/18465-1-1339225562.jpg
Rich Skyrim Merchants,https://www.nexusmods.com/skyrimspecialedition/mods/1772,"Gives all Merchants, Innkeepers, Blacksmiths, Spell Merchants, Fence Merchants (Thieves Guild), Alchemist and Street Vendors in Skyrim 2x 5x or 10x more gold.  Also applies to the Master Trader perk",Miscellaneous,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/1772-0-1500056277.png
The Eyes Of Beauty SSE,https://www.nexusmods.com/skyrimspecialedition/mods/16185,Official port of TEOB to SSE. With permission from LogRaam.,"Body, Face, and Hair",https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16185/16185-1522479300-2138048257.jpeg
xSHADOWMANx's Dll Loader,https://www.nexusmods.com/skyrimspecialedition/mods/3619,"The Dll Loader I use for Skyrim SE.
Required for all my Dll Mods.",Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/3619-0-1507480716.jpg
INIGO,https://www.nexusmods.com/skyrimspecialedition/mods/1461,"Inigo is a fully voiced khajiit adventuring companion with over 7000 lines of unique dialogue - much of it about you. He'll level alongside you and avoid most traps. If you're sneaking he won't chatter and he'll whisper if you talk to him. He can run out of arrows. He's highly skilled in archery, one-handed, and sneak.",Followers & Companions,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/1461-0-1479957014.jpg
Noble Skyrim Mod HD-2K,https://www.nexusmods.com/skyrimspecialedition/mods/21423,"The aim of this mod is to give all of Skyrim's architecture a complete new look by changing its textures to custom ones. Beside the architecture, several other things, such as landscape, dungeons (ruins, mines, caves etc.), clutter stuff etc. have been re-textured as well, to match the rest of the mod.  Try it out !",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/21423/94829-1543030207-357111888.jpeg
Ars Metallica - Smithing Enhancement,https://www.nexusmods.com/skyrimspecialedition/mods/321,"A smithing mod tailored to my desires in the game. Adds the ability to forge arrows, gain skill for smelting and mining, melt down unwanted armor and weapons, and more.",Crafting,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/16084-1-1335672089.jpg
Better MessageBox Controls,https://www.nexusmods.com/skyrimspecialedition/mods/1428,Navigate all message boxes with the Left/Right and Activate (E) keys. Also fixes the clickable area of buttons so they are easier to select with the mouse.,User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/28170-1-1355253978.jpg
Unique Uniques SE,https://www.nexusmods.com/skyrimspecialedition/mods/3334,A conversion of InsanitySorrow's mod Unique Uniques updated for Skyrim Special Edition.,Weapons and Armour,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/3334-0-1478537899.jpg
Beyond Skyrim - Bruma SE,https://www.nexusmods.com/skyrimspecialedition/mods/10917,"Travel beyond the borders of Skyrim and explore Bruma, the northernmost county in Cyrodiil. Delve into Ayleid ruins, meddle in local affairs or explore the wilds - the journey begins now.",Locations -  New,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/84946-0-1498689983.jpg
Book Covers Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/901,"Book Covers Skyrim is a retexture of all the readable books, journals, and notes in Skyrim. It gives each book and journal its own unique cover and adds many additional paper styles to the notes.",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/35399-1-1376557557.jpg
Realistic Ragdolls and Force SE,https://www.nexusmods.com/skyrimspecialedition/mods/1439,"(ESP plugin)Reduces the extra force applied on ragdolls to a more reasonable level(MESH)Replaces ragdolls so that they bend and twist realistically and fall at a faster velocity, and increases friction to fix ice-like ragdoll sliding",Gameplay,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/601-1-1328431450.jpg
powerofthree's Papyrus Extender,https://www.nexusmods.com/skyrimspecialedition/mods/22854,"SKSE64 plugin that extends Papyrus script functionality, with over 275 new Papyrus functions, and 29 events.",Modders Resources,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/22854/95017-1548256254-1238854123.png
Realistic Lighting Overhaul SSE,https://www.nexusmods.com/skyrimspecialedition/mods/844,Realistic Lighting Overhaul is here! Ready for Skyrim Special Edition! This is a massive overhaul of Skyrim's lighting. Exteriors also vastly overhauled! No Post Processing - No FPS loss! New features added for SSE - Dwemer Lighting Technology. Check out Understone Keep for an introduction to this feature!,Overhauls,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/844-0-1497055477.png
Mfg Fix,https://www.nexusmods.com/skyrimspecialedition/mods/11669,"Fixes ""mfg"" console command and adds some more fixes.",Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/11669-0-1503081803.jpg
powerofthree's Tweaks,https://www.nexusmods.com/skyrimspecialedition/mods/51073,Collection of engine bug fixes and tweaks. SKSE plugin.,Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/51073/51073-1623688700-1006153578.png
Blended Roads,https://www.nexusmods.com/skyrimspecialedition/mods/8834,Roadstones are blended to the ground mesh instead of assigning a texture to an extra mesh.This eliminates a lot of road uvw issues.,Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/8834-0-1497812902.gif
